"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","person"
"9062","RT @ferrykoto: Bro @faizalassegaf sampeyan onok opo? Sikap kritis itu bukan destruktif apalagi membenci membabi buta.

Satu hari serang @jo<U+2026>",FALSE,0,NA,2018-04-15 12:37:48,FALSE,NA,"985497417830154245",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MisterArif59",128,TRUE,FALSE,NA,NA,"Prabowo"
"9063","@jokowi @sbyudhoyono @prabowo

sejak kapan dalam Al Quran disebut gerindra, pks dan pan sebagai partai Allah

KOPLA<U+2026> https://t.co/JbDVSzKBvb",FALSE,0,"jokowi",2018-04-15 12:37:38,TRUE,NA,"985497374326906880","366987179","<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for Android</a>","ndorobbs",0,FALSE,FALSE,NA,NA,"Prabowo"
"9064","RT @Dahnilanzar: Sob. Bak hidangan di meja makan. Koki (parpol) hanya mau menyediakan dua pilihan menu kepada rakyat, @jokowi dan @prabowo<U+2026>",FALSE,0,NA,2018-04-15 12:37:11,FALSE,NA,"985497260715720704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mulyadi18111974",827,TRUE,FALSE,NA,NA,"Prabowo"
"9065","RT @CintaNKRI12: @fadlizon @ninizgeulis Dear @jokowi  ini lbh Dari 21000 TKAsdh masuk, Data ada ? Bgmn yaa pendapat yg kamu Bilang21000 Mir<U+2026>",FALSE,0,NA,2018-04-15 12:37:08,FALSE,NA,"985497248271233025",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","faqihnabila",38,TRUE,FALSE,NA,NA,"Prabowo"
"9066","RT @kasanmulyono: 5 keuntungan bagi parpol calonkan TGB
1. Elektabilitas terus naik
2. Citra bagus, gubernur sukses
3. Jaringan relawan lua<U+2026>",FALSE,0,NA,2018-04-15 12:37:03,FALSE,NA,"985497229019369473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","whynu9",55,TRUE,FALSE,NA,NA,"Prabowo"
"9067","RT @CintaNKRI12: Mari kita mengenang Bpk Proklamator kita #Soekarno. Siapa Bilang RAKYAT INDONESIA KELAPARAN ?? Karna INDONESIA banyak MAKA<U+2026>",FALSE,0,NA,2018-04-15 12:36:16,FALSE,NA,"985497031811543041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deprophetarmy",43,TRUE,FALSE,NA,NA,"Prabowo"
"9068","RT @BirgaldoS: Krn @fadlizon menantang @jokowi adu bentuk dada dgn @prabowo  bagaimana kalo partai pembuka laga dada itu dibuka dengan part<U+2026>",FALSE,0,NA,2018-04-15 12:36:06,FALSE,NA,"985496987620421632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Abe_TSFE",123,TRUE,FALSE,NA,NA,"Prabowo"
"9069","RT @fadlizon: Nggak benar alias fiktif. N sdh jd FAKTA bhw @prabowo capres @Gerindra .  @MRomahurmuziy urus partai n capresnya sendiri sj j<U+2026>",FALSE,0,NA,2018-04-15 12:35:37,FALSE,NA,"985496867717853189",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","henkifirmansya1",474,TRUE,FALSE,NA,NA,"Prabowo"
"9070","@Yandevilito79 @indraon3n1_9 @fadlizon @prabowo @Gerindra @MRomahurmuziy Ternyata pilihannya aseng juga....",FALSE,0,"Yandevilito79",2018-04-15 12:34:00,FALSE,"985322914575732737","985496460845174785","956885280509779969","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PeterApituley",0,FALSE,FALSE,NA,NA,"Prabowo"
"9071","RT @BirgaldoS: Krn @fadlizon menantang @jokowi adu bentuk dada dgn @prabowo  bagaimana kalo partai pembuka laga dada itu dibuka dengan part<U+2026>",FALSE,0,NA,2018-04-15 12:33:55,FALSE,NA,"985496440913866752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MedanTownChinas",123,TRUE,FALSE,NA,NA,"Prabowo"
